module,controller,method,path,auth_guard,dto_in,dto_out,statuses,file,line
admin,AdminCMSController,POST,/admin/onboarding-slides,"[Class] @ApiBearerAuth, @Auth(AuthType.JWT)",@Body: any,{ success: boolean; message: string; data: any; },201,src\modules\admin\admin-cms.controller.ts,24
admin,AdminCMSController,PUT,/admin/onboarding-slides/:id,"[Class] @ApiBearerAuth, @Auth(AuthType.JWT)","@Param: string, @Body: any",{ success: boolean; message: string; data: any; },200,src\modules\admin\admin-cms.controller.ts,37
admin,AdminCMSController,DELETE,/admin/onboarding-slides/:id,"[Class] @ApiBearerAuth, @Auth(AuthType.JWT)",@Param: string,{ success: boolean; message: string; },200,src\modules\admin\admin-cms.controller.ts,51
admin,AdminCMSController,PUT,/admin/pages/:id,"[Class] @ApiBearerAuth, @Auth(AuthType.JWT)","@Param: string, @Body: any",{ success: boolean; message: string; data: any; },200,src\modules\admin\admin-cms.controller.ts,63
admin,AdminCMSController,DELETE,/admin/pages/:id,"[Class] @ApiBearerAuth, @Auth(AuthType.JWT)",@Param: string,{ success: boolean; message: string; },200,src\modules\admin\admin-cms.controller.ts,77
admin,AdminCMSController,POST,/admin/strings,"[Class] @ApiBearerAuth, @Auth(AuthType.JWT)",@Body: any,{ success: boolean; message: string; data: any; },201,src\modules\admin\admin-cms.controller.ts,89
admin,AdminCMSController,PUT,/admin/strings/:id,"[Class] @ApiBearerAuth, @Auth(AuthType.JWT)","@Param: string, @Body: any",{ success: boolean; message: string; data: any; },200,src\modules\admin\admin-cms.controller.ts,102
admin,AdminCMSController,DELETE,/admin/strings/:id,"[Class] @ApiBearerAuth, @Auth(AuthType.JWT)",@Param: string,{ success: boolean; message: string; },200,src\modules\admin\admin-cms.controller.ts,116
admin,AdminCMSController,POST,/admin/home-layouts,"[Class] @ApiBearerAuth, @Auth(AuthType.JWT)",@Body: any,{ success: boolean; message: string; data: any; },201,src\modules\admin\admin-cms.controller.ts,128
admin,AdminCMSController,PUT,/admin/home-layouts/:id,"[Class] @ApiBearerAuth, @Auth(AuthType.JWT)","@Param: string, @Body: any",{ success: boolean; message: string; data: any; },200,src\modules\admin\admin-cms.controller.ts,141
admin,AdminCMSController,DELETE,/admin/home-layouts/:id,"[Class] @ApiBearerAuth, @Auth(AuthType.JWT)",@Param: string,{ success: boolean; message: string; },200,src\modules\admin\admin-cms.controller.ts,155
admin,AdminCMSController,DELETE,/admin/wallet/coupons/:id,"[Class] @ApiBearerAuth, @Auth(AuthType.JWT)",@Param: string,{ success: boolean; message: string; },,src\modules\admin\admin-cms.controller.ts,167
admin,AdminCMSController,DELETE,/admin/wallet/subscriptions/:id,"[Class] @ApiBearerAuth, @Auth(AuthType.JWT)",@Param: string,{ success: boolean; message: string; },,src\modules\admin\admin-cms.controller.ts,175
admin,AdminCMSController,POST,/admin/reports/generate,"[Class] @ApiBearerAuth, @Auth(AuthType.JWT)",@Body: any,{ success: boolean; message: string; },,src\modules\admin\admin-cms.controller.ts,183
admin,AdminCMSController,POST,/admin/reports/export/:id/:format,"[Class] @ApiBearerAuth, @Auth(AuthType.JWT)","@Param: string, @Param: string",{ success: boolean; message: string; },,src\modules\admin\admin-cms.controller.ts,190
admin,AdminCMSController,GET,/admin/reports/realtime,"[Class] @ApiBearerAuth, @Auth(AuthType.JWT)",,{ success: boolean; data: {}; },,src\modules\admin\admin-cms.controller.ts,199
admin,AdminCMSController,GET,/admin/wallet/settlements/export,"[Class] @ApiBearerAuth, @Auth(AuthType.JWT)",,{ success: boolean; message: string; },,src\modules\admin\admin-cms.controller.ts,206
admin,AdminController,GET,/admin/dashboard,"[Class] UnifiedAuthGuard, [Class] RolesGuard, [Class] @Auth(AuthType.JWT), [Class] @Roles('admin', 'superadmin'), [Class] @ApiBearerAuth",,"import(""C:/Users/Administrator/Desktop/bthwani_git/backend-nest/src/modules/admin/dto/dashboard.dto"").DashboardStatsDto",,src\modules\admin\admin.controller.ts,34
admin,AdminController,GET,/admin/stats/today,"[Class] UnifiedAuthGuard, [Class] RolesGuard, [Class] @Auth(AuthType.JWT), [Class] @Roles('admin', 'superadmin'), [Class] @ApiBearerAuth",,"import(""C:/Users/Administrator/Desktop/bthwani_git/backend-nest/src/modules/admin/dto/dashboard.dto"").TodayStatsDto",,src\modules\admin\admin.controller.ts,40
admin,AdminController,GET,/admin/stats/financial,"[Class] UnifiedAuthGuard, [Class] RolesGuard, [Class] @Auth(AuthType.JWT), [Class] @Roles('admin', 'superadmin'), [Class] @ApiBearerAuth",,"import(""C:/Users/Administrator/Desktop/bthwani_git/backend-nest/src/modules/admin/admin.service"").FinancialStats",,src\modules\admin\admin.controller.ts,46
