Requirement ID,Requirement,Artifact,Evidence Path,Owner,Status,Notes
"DP-01","Personal Data Encryption","sanitization.helper.ts","src/common/utils/sanitization.helper.ts:16","Security Team","Implemented","'pinCodeHash',"
"","","sanitization.helper.ts","src/common/utils/sanitization.helper.ts:99","","Implemented","* إزالة حقل متداخل (مثل security.pinCodeHash)"
"","","user.entity.ts","src/modules/auth/entities/user.entity.ts:50","","Implemented","pinCodeHash?: string;"
"","","driver.service.ts","src/modules/driver/driver.service.ts:8","","Implemented","import * as bcrypt from 'bcrypt';"
"","","driver.service.ts","src/modules/driver/driver.service.ts:40","","Implemented","const hashedPassword = await bcrypt.hash(createDriverDto.password, 10);"
"","","... and 19 more","","","Implemented",""
"DP-02","Data Minimization","pagination.dto.ts","src/common/dto/pagination.dto.ts:7","Development Team","Implemented","@IsOptional()"
"","","pagination.dto.ts","src/common/dto/pagination.dto.ts:14","","Implemented","@IsOptional()"
"","","pagination.dto.ts","src/common/dto/pagination.dto.ts:24","","Implemented","@IsOptional()"
"","","pagination.dto.ts","src/common/dto/pagination.dto.ts:29","","Implemented","@IsOptional()"
"","","location-update.dto.ts","src/gateways/dto/location-update.dto.ts:14","","Implemented","@IsOptional()"
"","","... and 292 more","","","Implemented",""
"DP-03","Data Retention Policy","app.module.ts","src/app.module.ts:6","Data Team","Implemented","import { ThrottlerModule, ThrottlerGuard } from '@nestjs/throttler';"
"","","app.module.ts","src/app.module.ts:75","","Implemented","ttl: parseInt(process.env.CACHE_TTL || '600', 10),"
"","","app.module.ts","src/app.module.ts:80","","Implemented","ThrottlerModule.forRoot(["
"","","app.module.ts","src/app.module.ts:83","","Implemented","ttl: 60000, // 60 ثانية"
"","","app.module.ts","src/app.module.ts:88","","Implemented","ttl: 60000, // 60 ثانية"
"","","... and 221 more","","","Implemented",""
"CM-01","User Consent Tracking","consent.guard.ts","src/common/guards/consent.guard.ts:3","Legal Team","Implemented","import { ConsentService } from '../../modules/auth/services/consent.service';"
"","","consent.guard.ts","src/common/guards/consent.guard.ts:4","","Implemented","import { ConsentType } from '../../modules/auth/dto/consent.dto';"
"","","consent.guard.ts","src/common/guards/consent.guard.ts:7","","Implemented","export const REQUIRED_CONSENTS_KEY = 'requiredConsents';"
"","","consent.guard.ts","src/common/guards/consent.guard.ts:8","","Implemented","export const RequireConsents = (...consents: ConsentType[]) =>"
"","","consent.guard.ts","src/common/guards/consent.guard.ts:9","","Implemented","SetMetadata(REQUIRED_CONSENTS_KEY, consents);"
"","","... and 315 more","","","Implemented",""
"CM-02","Opt-out Mechanisms","admin.controller.ts","src/modules/admin/admin.controller.ts:142","Product Team","Implemented","// ==================== Withdrawals Management ===================="
"","","admin.controller.ts","src/modules/admin/admin.controller.ts:144","","Implemented","@Get('withdrawals')"
"","","admin.controller.ts","src/modules/admin/admin.controller.ts:146","","Implemented","async getWithdrawals("
"","","admin.controller.ts","src/modules/admin/admin.controller.ts:152","","Implemented","return this.adminService.getWithdrawals(status, userModel, page, limit);"
"","","admin.controller.ts","src/modules/admin/admin.controller.ts:155","","Implemented","@Get('withdrawals/pending')"
"","","... and 91 more","","","Implemented",""
"DSR-01","Right to Access","app.module.ts","src/app.module.ts:13","Development Team","Implemented","import { MetricsInterceptor } from './common/interceptors/metrics.interceptor';"
"","","app.module.ts","src/app.module.ts:30","","Implemented","import { MerchantModule } from './modules/merchant/merchant.module';"
"","","app.module.ts","src/app.module.ts:38","","Implemented","import { MetricsModule } from './modules/metrics/metrics.module';"
